Rank,Nombre,Símbolo,Cap. de Mercado,Precio
1.0,BTCBitcoin,BTC,"1,522,686,975.00",129.00
2.0,XRPXRP,XRP,"76,764,377.04",0.009819
3.0,LTCLitecoin,LTC,"47,387,871.44",2.17
4.0,PPCPeercoin,PPC,"9,526,224.06",0.4644
5.0,NMCNamecoin,NMC,"3,921,037.64",0.5676
6.0,FTCFeathercoin,FTC,"2,182,887.18",0.1187
7.0,NVCNovacoin,NVC,"1,764,749.40",4.18
8.0,XPMPrimecoin,XPM,"807,006.99",0.3354
9.0,TRCTerracoin,TRC,"649,240.25",0.1664
10.0,CBXBullion,CBX,"282,231.13",0.3363
11.0,DVCDevcoin,DVC,"238,140.94",0.00004386
12.0,MECMegacoin,MEC,"228,515.23",0.01179
13.0,IXCIxcoin,IXC,"219,655.71",0.01393
14.0,WDCWorldCoin,WDC,"203,604.31",0.008332
15.0,MNCMincoin,MNC,"183,516.39",0.1355
16.0,IFCInfinitecoin,IFC,"166,301.52",0.00000206
17.0,DGCDigitalcoin,DGC,"163,081.85",0.01755
18.0,ANCAnoncoin,ANC,"120,598.86",0.2585
19.0,FRCFreicoin,FRC,"113,663.23",0.003999
20.0,GLCGoldCoin,GLC,"80,989.97",0.002971
1.0,BTCBitcoin,BTC,"1,634,968,896.30",138.13
2.0,XRPXRP,XRP,"65,761,480.71",0.008412
3.0,LTCLitecoin,LTC,"46,962,275.38",2.13
4.0,PPCPeercoin,PPC,"8,371,560.83",0.4075
5.0,NMCNamecoin,NMC,"4,250,854.27",0.6092
6.0,XPMPrimecoin,XPM,"2,332,161.95",0.9255
7.0,NVCNovacoin,NVC,"1,937,980.26",4.33
8.0,FTCFeathercoin,FTC,"1,907,171.93",0.09945
9.0,TRCTerracoin,TRC,"654,518.62",0.1644
10.0,WDCWorldCoin,WDC,"504,447.87",0.0198
11.0,MNCMincoin,MNC,"451,088.56",0.3311
12.0,CBXBullion,CBX,"346,840.57",0.4075
13.0,DVCDevcoin,DVC,"264,767.52",0.00004835
14.0,IXCIxcoin,IXC,"251,994.20",0.01579
15.0,MECMegacoin,MEC,"234,457.13",0.01191
16.0,FRCFreicoin,FRC,"221,760.42",0.007597
17.0,DGCDigitalcoin,DGC,"188,520.09",0.01979
18.0,ANCAnoncoin,ANC,"155,328.02",0.3315
19.0,IFCInfinitecoin,IFC,"151,452.97",0.000001847
20.0,GLCGoldCoin,GLC,"77,552.48",0.002832
1.0,BTCBitcoin,BTC,"2,073,319,147.25",174.61
2.0,XRPXRP,XRP,"52,377,129.63",0.0067
3.0,LTCLitecoin,LTC,"42,968,335.05",1.93
4.0,PPCPeercoin,PPC,"6,650,532.18",0.323
5.0,NMCNamecoin,NMC,"3,329,028.64",0.4714
6.0,NVCNovacoin,NVC,"2,068,554.51",4.54
7.0,XPMPrimecoin,XPM,"1,914,905.51",0.725
8.0,FTCFeathercoin,FTC,"1,428,630.62",0.07159
9.0,WDCWorldCoin,WDC,"492,548.61",0.01851
10.0,TRCTerracoin,TRC,"464,703.08",0.1152
11.0,CBXBullion,CBX,"356,813.80",0.4144
12.0,DVCDevcoin,DVC,"270,046.86",0.00004889
13.0,MNCMincoin,MNC,"264,358.35",0.194
14.0,FRCFreicoin,FRC,"192,525.42",0.006461
15.0,MECMegacoin,MEC,"192,050.98",0.00963
16.0,IXCIxcoin,IXC,"168,802.15",0.01048
17.0,GLCGoldCoin,GLC,"127,687.80",0.004636
18.0,DGCDigitalcoin,DGC,"110,326.84",0.01138
19.0,BQCBBQCoin,BQC,"62,237.41",0.00241
20.0,ZETZetacoin,ZET,"52,416.85",0.0003557
1.0,BTCBitcoin,BTC,"2,339,831,246.08",196.44
2.0,XRPXRP,XRP,"53,493,201.51",0.006842
3.0,LTCLitecoin,LTC,"47,869,216.16",2.13
4.0,PPCPeercoin,PPC,"7,776,359.18",0.3772
5.0,NMCNamecoin,NMC,"3,223,967.80",0.4538
6.0,NVCNovacoin,NVC,"1,922,215.12",4.16
7.0,XPMPrimecoin,XPM,"1,801,599.18",0.6561
8.0,FTCFeathercoin,FTC,"1,548,705.52",0.07465
9.0,TRCTerracoin,TRC,"450,862.30",0.11
10.0,WDCWorldCoin,WDC,"395,415.54",0.01424
11.0,DVCDevcoin,DVC,"306,421.17",0.000055
12.0,MECMegacoin,MEC,"256,422.86",0.01271
13.0,CBXBullion,CBX,"243,761.41",0.279
14.0,MNCMincoin,MNC,"160,395.01",0.1177
15.0,FRCFreicoin,FRC,"149,092.98",0.004911
16.0,IXCIxcoin,IXC,"143,943.59",0.008859
17.0,ANCAnoncoin,ANC,"129,781.15",0.2729
18.0,DGCDigitalcoin,DGC,"124,639.90",0.01243
19.0,GLCGoldCoin,GLC,"92,268.49",0.003324
20.0,IFCInfinitecoin,IFC,"62,399.56",0.000000734
1.0,BTCBitcoin,BTC,"2,568,713,147.70",215.05
2.0,LTCLitecoin,LTC,"65,383,974.75",2.88
3.0,XRPXRP,XRP,"55,978,082.55",0.00716
4.0,PPCPeercoin,PPC,"8,269,006.54",0.4
5.0,NMCNamecoin,NMC,"4,196,113.79",0.5828
6.0,NVCNovacoin,NVC,"1,991,593.65",4.25
7.0,XPMPrimecoin,XPM,"1,943,272.47",0.6774
8.0,FTCFeathercoin,FTC,"1,806,331.01",0.08387
9.0,WDCWorldCoin,WDC,"777,203.28",0.02709
10.0,MNCMincoin,MNC,"752,030.26",0.5376
11.0,TRCTerracoin,TRC,"487,423.34",0.1161
12.0,MECMegacoin,MEC,"258,339.92",0.01268
13.0,DVCDevcoin,DVC,"253,658.42",0.00004516
14.0,CBXBullion,CBX,"186,529.86",0.2108
15.0,IXCIxcoin,IXC,"183,018.46",0.01118
16.0,FRCFreicoin,FRC,"169,416.58",0.005484
17.0,DGCDigitalcoin,DGC,"123,461.97",0.01203
18.0,ANCAnoncoin,ANC,"121,635.99",0.2495
19.0,IFCInfinitecoin,IFC,"82,466.66",0.0000009622
20.0,QRKQuark,QRK,"51,884.95",0.000215
1.0,BTCBitcoin,BTC,"3,910,613,036.04",326.62
2.0,LTCLitecoin,LTC,"90,017,168.40",3.93
3.0,XRPXRP,XRP,"67,307,326.84",0.008609
4.0,PPCPeercoin,PPC,"12,720,279.23",0.614
5.0,NMCNamecoin,NMC,"4,624,532.62",0.6369
6.0,NVCNovacoin,NVC,"2,458,420.76",5.17
7.0,FTCFeathercoin,FTC,"2,408,398.36",0.1078
8.0,XPMPrimecoin,XPM,"2,255,477.92",0.7545
9.0,WDCWorldCoin,WDC,"1,003,540.14",0.03364
10.0,TRCTerracoin,TRC,"599,258.97",0.1404
11.0,CBXBullion,CBX,"472,541.19",0.5275
12.0,MNCMincoin,MNC,"457,336.73",0.3266
13.0,DVCDevcoin,DVC,"388,413.93",0.00006859
14.0,CLRCopperlark,CLR,"315,161.62",0.06859
15.0,MECMegacoin,MEC,"298,283.64",0.0145
16.0,IXCIxcoin,IXC,"274,793.49",0.01666
17.0,FRCFreicoin,FRC,"216,303.13",0.006839
18.0,DGCDigitalcoin,DGC,"169,845.80",0.01618
19.0,GLCGoldCoin,GLC,"135,759.47",0.004824
20.0,ANCAnoncoin,ANC,"120,244.92",0.2386
1.0,BTCBitcoin,BTC,"5,907,841,887.89",492.11
2.0,LTCLitecoin,LTC,"94,452,809.89",4.09
3.0,XRPXRP,XRP,"79,811,364.08",0.01021
4.0,PPCPeercoin,PPC,"15,956,728.66",0.7689
5.0,NMCNamecoin,NMC,"4,578,176.84",0.6255
6.0,NVCNovacoin,NVC,"2,355,870.65",4.87
7.0,XPMPrimecoin,XPM,"2,119,653.38",0.6889
8.0,WDCWorldCoin,WDC,"1,554,778.74",0.05015
9.0,FTCFeathercoin,FTC,"1,388,509.41",0.06004
10.0,CBXBullion,CBX,"1,031,000.99",1.14
11.0,DVCDevcoin,DVC,"477,500.44",0.00008366
12.0,MECMegacoin,MEC,"347,575.15",0.01673
13.0,IXCIxcoin,IXC,"294,130.62",0.01772
14.0,CLRCopperlark,CLR,"278,987.93",0.05905
15.0,DGCDigitalcoin,DGC,"261,038.27",0.02441
16.0,MNCMincoin,MNC,"259,347.21",0.1847
17.0,TRCTerracoin,TRC,"212,057.32",0.04927
18.0,FRCFreicoin,FRC,"190,930.60",0.005905
19.0,GLCGoldCoin,GLC,"163,176.78",0.005763
20.0,ANCAnoncoin,ANC,"136,914.44",0.2628
1.0,BTCBitcoin,BTC,"9,317,034,156.25",774.25
2.0,LTCLitecoin,LTC,"242,572,318.54",10.41
3.0,XRPXRP,XRP,"91,218,427.45",0.01167
4.0,PPCPeercoin,PPC,"45,055,424.12",2.17
5.0,NMCNamecoin,NMC,"20,001,994.64",2.71
6.0,PTSBitShares PTS,PTS,"7,490,654.02",7.92
7.0,FTCFeathercoin,FTC,"5,557,748.31",0.2323
8.0,XPMPrimecoin,XPM,"5,360,236.80",1.70
9.0,NVCNovacoin,NVC,"4,059,827.38",8.20
10.0,WDCWorldCoin,WDC,"2,987,078.31",0.0929
11.0,MECMegacoin,MEC,"2,859,161.65",0.1363
12.0,CBXBullion,CBX,"1,846,880.68",2.04
13.0,FRCFreicoin,FRC,"1,179,399.59",0.03562
14.0,IXCIxcoin,IXC,"1,035,452.98",0.06193
15.0,ANCAnoncoin,ANC,"958,863.75",1.78
16.0,DVCDevcoin,DVC,"846,444.75",0.0001471
17.0,DGCDigitalcoin,DGC,"681,230.63",0.0627
18.0,IFCInfinitecoin,IFC,"629,489.07",0.000007168
19.0,TRCTerracoin,TRC,"605,768.10",0.1394
20.0,BQCBBQCoin,BQC,"573,644.60",0.0209
1.0,BTCBitcoin,BTC,"11,531,708,652.96",955.85
2.0,LTCLitecoin,LTC,"817,326,372.71",34.74
3.0,XRPXRP,XRP,"402,593,977.40",0.0515
4.0,PPCPeercoin,PPC,"133,213,784.09",6.39
5.0,NMCNamecoin,NMC,"62,668,948.41",8.42
6.0,QRKQuark,QRK,"61,041,537.07",0.2485
7.0,MECMegacoin,MEC,"31,753,577.99",1.51
8.0,PTSBitShares PTS,PTS,"24,532,015.38",24.71
9.0,FTCFeathercoin,FTC,"24,154,271.26",0.975
10.0,XPMPrimecoin,XPM,"18,467,629.33",5.54
11.0,WDCWorldCoin,WDC,"16,223,784.23",0.4875
12.0,FRCFreicoin,FRC,"10,905,476.80",0.3221
13.0,NVCNovacoin,NVC,"10,848,054.00",21.54
14.0,BQCBBQCoin,BQC,"6,523,733.24",0.2342
15.0,ZETZetacoin,ZET,"5,959,034.15",0.03783
16.0,IFCInfinitecoin,IFC,"5,763,848.99",0.00006539
17.0,TRCTerracoin,TRC,"5,460,825.59",1.21
18.0,CBXBullion,CBX,"4,352,024.72",4.78
19.0,DVCDevcoin,DVC,"3,631,041.48",0.0006262
20.0,ANCAnoncoin,ANC,"3,503,695.91",6.31
1.0,BTCBitcoin,BTC,"9,627,500,053.68",795.87
2.0,LTCLitecoin,LTC,"648,135,180.44",27.27
3.0,XRPXRP,XRP,"285,005,350.24",0.03646
4.0,PPCPeercoin,PPC,"84,643,503.94",4.05
5.0,NMCNamecoin,NMC,"46,654,461.57",6.29
6.0,QRKQuark,QRK,"26,259,005.81",0.1067
7.0,WDCWorldCoin,WDC,"26,148,372.94",0.7601
8.0,MECMegacoin,MEC,"21,083,628.39",0.9948
9.0,XPMPrimecoin,XPM,"12,090,897.08",3.50
10.0,FTCFeathercoin,FTC,"11,388,199.45",0.4457
