,,Rank,Nombre,Símbolo,Cap. de Mercado,Precio
20131006,0,1.0,BTCBitcoin,BTC,"$1,522,686,975.00",$129.00
20131006,1,2.0,XRPXRP,XRP,"$76,764,377.04",$0.009819
20131006,2,3.0,LTCLitecoin,LTC,"$47,387,871.44",$2.17
20131006,3,4.0,PPCPeercoin,PPC,"$9,526,224.06",$0.4644
20131006,4,5.0,NMCNamecoin,NMC,"$3,921,037.64",$0.5676
20131006,5,6.0,FTCFeathercoin,FTC,"$2,182,887.18",$0.1187
20131006,6,7.0,NVCNovacoin,NVC,"$1,764,749.40",$4.18
20131006,7,8.0,XPMPrimecoin,XPM,"$807,006.99",$0.3354
20131006,8,9.0,TRCTerracoin,TRC,"$649,240.25",$0.1664
20131006,9,10.0,CBXBullion,CBX,"$282,231.13",$0.3363
20131006,10,11.0,DVCDevcoin,DVC,"$238,140.94",$0.00004386
20131006,11,12.0,MECMegacoin,MEC,"$228,515.23",$0.01179
20131006,12,13.0,IXCIxcoin,IXC,"$219,655.71",$0.01393
20131006,13,14.0,WDCWorldCoin,WDC,"$203,604.31",$0.008332
20131006,14,15.0,MNCMincoin,MNC,"$183,516.39",$0.1355
20131006,15,16.0,IFCInfinitecoin,IFC,"$166,301.52",$0.00000206
20131006,16,17.0,DGCDigitalcoin,DGC,"$163,081.85",$0.01755
20131006,17,18.0,ANCAnoncoin,ANC,"$120,598.86",$0.2585
20131006,18,19.0,FRCFreicoin,FRC,"$113,663.23",$0.003999
20131006,19,20.0,GLCGoldCoin,GLC,"$80,989.97",$0.002971
20131013,0,1.0,BTCBitcoin,BTC,"$1,634,968,896.30",$138.13
20131013,1,2.0,XRPXRP,XRP,"$65,761,480.71",$0.008412
20131013,2,3.0,LTCLitecoin,LTC,"$46,962,275.38",$2.13
20131013,3,4.0,PPCPeercoin,PPC,"$8,371,560.83",$0.4075
20131013,4,5.0,NMCNamecoin,NMC,"$4,250,854.27",$0.6092
20131013,5,6.0,XPMPrimecoin,XPM,"$2,332,161.95",$0.9255
20131013,6,7.0,NVCNovacoin,NVC,"$1,937,980.26",$4.33
20131013,7,8.0,FTCFeathercoin,FTC,"$1,907,171.93",$0.09945
